City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
235,Hay River,CA,2020-08-30 16:25:05,60.82,-115.8,50.0,66,20,12.75,few clouds
236,Bagli,IN,2020-08-30 16:25:05,22.65,76.35,73.4,88,40,9.17,scattered clouds
237,Portland,US,2020-08-30 16:27:54,45.52,-122.68,57.99,71,75,5.82,broken clouds
238,Malakal,SS,2020-08-30 16:22:45,9.53,31.66,77.9,81,66,0.54,broken clouds
239,Maneromango,TZ,2020-08-30 16:25:06,-7.2,38.78,77.0,69,20,9.17,few clouds
240,Bakchar,RU,2020-08-30 16:25:06,57.02,82.07,54.21,93,40,1.97,scattered clouds
241,Esperance,AU,2020-08-30 16:32:39,-33.87,121.9,46.4,87,68,11.41,broken clouds
242,Alofi,NU,2020-08-30 16:32:39,-19.06,-169.92,66.2,100,31,1.12,scattered clouds
243,Poplar Bluff,US,2020-08-30 16:25:06,36.76,-90.39,72.0,94,90,7.27,overcast clouds
244,Meulaboh,ID,2020-08-30 16:32:39,4.14,96.13,78.12,86,100,2.26,overcast clouds
245,Kupang,ID,2020-08-30 16:32:39,-10.17,123.58,75.6,84,47,11.27,scattered clouds
246,Vila Franca Do Campo,PT,2020-08-30 16:32:40,37.72,-25.43,77.0,78,40,11.41,scattered clouds
247,Ilhabela,BR,2020-08-30 16:25:07,-23.78,-45.36,86.79,43,0,1.5,clear sky
248,Gulbarga,IN,2020-08-30 16:25:07,17.33,76.83,78.85,76,26,11.34,light rain
249,Yerbogachen,RU,2020-08-30 16:25:07,61.28,108.01,53.24,74,63,3.8,broken clouds
250,Moron,AR,2020-08-30 16:25:08,-34.65,-58.62,54.0,37,100,8.05,overcast clouds
251,Carauari,BR,2020-08-30 16:25:08,-4.88,-66.9,95.88,43,95,2.24,overcast clouds
252,Esmeraldas,BR,2020-08-30 16:25:08,-19.76,-44.31,87.8,27,20,4.7,few clouds
253,Gra Liyia,GR,2020-08-30 16:25:08,35.02,25.68,86.0,50,0,8.99,clear sky
254,Koszeg,HU,2020-08-30 16:25:09,47.39,16.54,69.01,88,100,10.0,light rain
255,Coquimbo,CL,2020-08-30 16:27:56,-29.95,-71.34,57.2,67,0,11.41,clear sky
256,Anenecuilco,MX,2020-08-30 16:25:09,18.77,-98.98,75.2,73,75,3.36,broken clouds
257,Gat,IL,2020-08-30 16:32:41,31.61,34.76,86.0,22,0,1.99,clear sky
258,Bonavista,CA,2020-08-30 16:32:41,48.65,-53.11,54.0,79,100,18.01,light rain
259,Kirakira,SB,2020-08-30 16:25:09,-10.45,161.92,79.77,84,100,14.14,light rain
260,Goderich,CA,2020-08-30 16:32:41,43.75,-81.72,70.0,65,47,8.57,scattered clouds
261,Ambilobe,MG,2020-08-30 16:32:42,-13.2,49.05,72.48,80,38,2.42,scattered clouds
262,Dali,CN,2020-08-30 16:25:10,25.7,100.18,64.02,87,100,1.97,moderate rain
263,Sitborice,CZ,2020-08-30 16:25:10,49.01,16.78,77.0,65,20,14.99,heavy intensity rain
264,Tessalit,ML,2020-08-30 16:32:42,20.2,1.01,93.56,37,61,13.94,broken clouds
265,Villa Bruzual,VE,2020-08-30 16:25:10,9.33,-69.12,86.56,66,96,1.39,overcast clouds
266,Puerto Escondido,MX,2020-08-30 16:32:42,15.85,-97.07,86.0,51,40,4.68,scattered clouds
267,Cockburn Town,TC,2020-08-30 16:32:42,21.46,-71.14,86.0,66,40,11.41,scattered clouds
268,Dongsheng,CN,2020-08-30 16:25:11,39.82,109.98,54.91,82,100,8.95,moderate rain
